"Relative","Count","SrcBytes","DstBytes","ExitCode"
"BLDA\CharFace\CFID_4\CharID_104","19","291012","43281","0"
"BLDA\CharFace\CFID_4\CharID_105","28","439980","46516","0"
"BLDA\CharFace\CFID_4\CharID_119","74","1399240","129333","0"
"BLDA\CharFace\CFID_4\CharID_130","31","679596","61271","0"
"BLDA\CharFace\CFID_4\CharID_131","10","153656","29561","0"
"BLDA\CharFace\CFID_4\CharID_132","17","209078","27095","0"
"BLDA\CharFace\CFID_4\CharID_134","41","669848","65987","0"
"BLDA\CharFace\CFID_4\CharID_135","31","451028","47173","0"
"BLDA\CharFace\CFID_4\CharID_152","23","310696","45862","0"
"BLDA\CharFace\CFID_4\CharID_156","55","868282","71590","0"
"BLDA\CharFace\CFID_4\CharID_157","7","103932","35628","0"
"BLDA\CharFace\CFID_4\CharID_158","8","117086","23596","0"
"BLDA\CharFace\CFID_4\CharID_167","33","528272","48535","0"
"BLDA\CharFace\CFID_4\CharID_167_REPAIR","10","159652","27766","0"
"BLDA\CharFace\CFID_4\CharID_173","58","1045754","81446","0"
"BLDA\CharFace\CFID_4\CharID_175","9","163362","34727","0"
"BLDA\CharFace\CFID_4\CharID_176","24","485984","35437","0"
"BLDA\CharFace\CFID_4\CharID_182","44","723654","47004","0"
"BLDA\CharFace\CFID_4\CharID_224","41","668832","67083","0"
"BLDA\CharFace\CFID_4\CharID_224_REPAIR","18","289594","38275","0"
"BLDA\CharFace\CFID_4\CharID_225","38","675676","70900","0"
"BLDA\CharFace\CFID_4\CharID_226","30","503942","70931","0"
"BLDA\CharFace\CFID_4\CharID_226_REPAIR","19","326134","49978","0"
"BLDA\CharFace\CFID_4\CharID_228","36","592044","77315","0"
"BLDA\CharFace\CFID_4\CharID_230","113","1477558","149150","0"
"BLDA\CharFace\CFID_4\CharID_234","28","386224","57785","0"
"BLDA\CharFace\CFID_4\CharID_6","47","726996","52209","0"
"BLDA\CharFace\CFID_4\CharID_68","3","41380","17340","0"
"BLDA\CharFace\CFID_5\CharID_0_OLD","8","239440","26308","0"
"BLDA\CharFace\CFID_5\CharID_108_OLD","8","200690","27948","0"
"BLDA\CharFace\CFID_5\CharID_110_OLD","8","292934","28239","0"
"BLDA\CharFace\CFID_5\CharID_119_OLD","9","231146","25048","0"
"BLDA\CharFace\CFID_5\CharID_131_OLD","12","364130","27051","0"
"BLDA\CharFace\CFID_5\CharID_145_OLD","11","343234","32156","0"
"BLDA\CharFace\CFID_5\CharID_153_OLD","11","342314","28147","0"
"BLDA\CharFace\CFID_5\CharID_154_OLD","9","262180","30445","0"
"BLDA\CharFace\CFID_5\CharID_159_OLD","7","191274","23663","0"
"BLDA\CharFace\CFID_5\CharID_160_OLD","14","542576","46132","0"
"BLDA\CharFace\CFID_5\CharID_184_OLD","9","339270","32549","0"
"BLDA\CharFace\CFID_5\CharID_202_OLD","11","234962","22681","0"
"BLDA\CharFace\CFID_5\CharID_222_OLD","9","268440","27629","0"
"BLDA\CharFace\CFID_5\CharID_230_OLD","15","534830","35142","0"
"BLDA\CharFace\CFID_5\CharID_40_1_OLD","12","445506","40913","0"
"BLDA\CharFace\CFID_5\CharID_40_2_OLD","11","392892","31008","0"
"BLDA\CharFace\CFID_5\CharID_40_3_OLD","16","553552","45462","0"
"BLDA\CharFace\CFID_5\CharID_40_4_OLD","8","342390","31803","0"
"BLDA\CharFace\CFID_5\CharID_40_5_OLD","8","199446","21860","0"
"BLDA\CharFace\CFID_5\CharID_40_6_OLD","10","164962","24101","0"
"BLDA\CharFace\CFID_5\CharID_82_OLD","12","561660","45708","0"
"BLDA\CharFace\CFID_6\CharID_0","36","1154650","34758","0"
"BLDA\CharFace\CFID_6\CharID_10","28","773594","30273","0"
"BLDA\CharFace\CFID_6\CharID_100-267","215","5831394","137403","0"
"BLDA\CharFace\CFID_6\CharID_104","235","6207032","278523","0"
"BLDA\CharFace\CFID_6\CharID_104-173","185","5051268","141816","0"
"BLDA\CharFace\CFID_6\CharID_104-239","388","8387064","219902","0"
"BLDA\CharFace\CFID_6\CharID_105","131","3127902","116625","0"
"BLDA\CharFace\CFID_6\CharID_105-140","252","6250110","205474","0"
"BLDA\CharFace\CFID_6\CharID_105-262","473","11746242","276174","0"
"BLDA\CharFace\CFID_6\CharID_105-269","208","5735720","124416","0"
"BLDA\CharFace\CFID_6\CharID_106","198","2786042","143699","0"
"BLDA\CharFace\CFID_6\CharID_106-271","241","7062842","143284","0"
"BLDA\CharFace\CFID_6\CharID_107-206","113","3638376","106215","0"
"BLDA\CharFace\CFID_6\CharID_111-146","75","2223942","62589","0"
"BLDA\CharFace\CFID_6\CharID_112-167","184","3866970","229411","0"
"BLDA\CharFace\CFID_6\CharID_113-156","72","2921064","76795","0"
"BLDA\CharFace\CFID_6\CharID_113-248","574","16982248","345846","0"
"BLDA\CharFace\CFID_6\CharID_117","108","3038730","76737","0"
"BLDA\CharFace\CFID_6\CharID_120-179","127","4299102","105702","0"
"BLDA\CharFace\CFID_6\CharID_121","46","1198902","48990","0"
"BLDA\CharFace\CFID_6\CharID_123-145","120","3842976","162645","0"
"BLDA\CharFace\CFID_6\CharID_124","96","3469560","120523","0"
"BLDA\CharFace\CFID_6\CharID_125","112","2929886","83365","0"
"BLDA\CharFace\CFID_6\CharID_130","299","8990992","354005","0"
"BLDA\CharFace\CFID_6\CharID_130-247","310","8584626","251894","0"
"BLDA\CharFace\CFID_6\CharID_130-255","494","9137640","282019","0"
"BLDA\CharFace\CFID_6\CharID_131","237","7134656","226042","0"
"BLDA\CharFace\CFID_6\CharID_131-214","444","13923456","292993","0"
"BLDA\CharFace\CFID_6\CharID_131-256","473","8694550","301941","0"
"BLDA\CharFace\CFID_6\CharID_132-215","189","5784522","122448","0"
"BLDA\CharFace\CFID_6\CharID_132-257","387","8882186","204031","0"
"BLDA\CharFace\CFID_6\CharID_134","135","4419352","171551","0"
"BLDA\CharFace\CFID_6\CharID_135","109","3605050","84742","0"
"BLDA\CharFace\CFID_6\CharID_135-139","205","7022572","184878","0"
"BLDA\CharFace\CFID_6\CharID_136","112","4959780","110536","0"
"BLDA\CharFace\CFID_6\CharID_136-194","66","2318094","69697","0"
"BLDA\CharFace\CFID_6\CharID_137-142","86","2987820","95538","0"
"BLDA\CharFace\CFID_6\CharID_137-207","171","5161670","138532","0"
"BLDA\CharFace\CFID_6\CharID_139-157","65","2304944","53697","0"
"BLDA\CharFace\CFID_6\CharID_140","119","3254674","113124","0"
"BLDA\CharFace\CFID_6\CharID_141","98","2354768","77640","0"
"BLDA\CharFace\CFID_6\CharID_141-216","326","9407540","452536","0"
"BLDA\CharFace\CFID_6\CharID_142-144","83","2599788","74314","0"
"BLDA\CharFace\CFID_6\CharID_143-213","77","2397420","69321","0"
"BLDA\CharFace\CFID_6\CharID_147-243","65","1739670","70766","0"
"BLDA\CharFace\CFID_6\CharID_148-231","245","4939748","136290","0"
"BLDA\CharFace\CFID_6\CharID_148-260","646","8539308","418796","0"
"BLDA\CharFace\CFID_6\CharID_150-188","80","1848512","54939","0"
"BLDA\CharFace\CFID_6\CharID_150-200","229","8435050","189901","0"
"BLDA\CharFace\CFID_6\CharID_150-264","412","7492646","288794","0"
"BLDA\CharFace\CFID_6\CharID_151","151","3870530","173887","0"
"BLDA\CharFace\CFID_6\CharID_152-189","111","2451958","92447","0"
"BLDA\CharFace\CFID_6\CharID_154-192","147","4568180","108646","0"
"BLDA\CharFace\CFID_6\CharID_154-242","73","1161930","63124","0"
"BLDA\CharFace\CFID_6\CharID_155","91","2678964","129997","0"
"BLDA\CharFace\CFID_6\CharID_155-162","84","2099124","73831","0"
"BLDA\CharFace\CFID_6\CharID_156","58","1802746","86345","0"
"BLDA\CharFace\CFID_6\CharID_156-218","58","1756848","50784","0"
"BLDA\CharFace\CFID_6\CharID_157","110","3791944","142696","0"
"BLDA\CharFace\CFID_6\CharID_159","116","3735620","102834","0"
"BLDA\CharFace\CFID_6\CharID_160","78","3171450","107144","0"
"BLDA\CharFace\CFID_6\CharID_162","146","4536342","105330","0"
"BLDA\CharFace\CFID_6\CharID_162_0","124","3394538","89327","0"
"BLDA\CharFace\CFID_6\CharID_162-252","217","2917164","149460","0"
"BLDA\CharFace\CFID_6\CharID_167-155","113","3197930","80909","0"
"BLDA\CharFace\CFID_6\CharID_167-172","90","3386092","78597","0"
"BLDA\CharFace\CFID_6\CharID_167-250","274","7250916","195206","0"
"BLDA\CharFace\CFID_6\CharID_171-180","104","3899516","106787","0"
"BLDA\CharFace\CFID_6\CharID_172","77","2759282","71337","0"
"BLDA\CharFace\CFID_6\CharID_172_0","79","2682946","63630","0"
"BLDA\CharFace\CFID_6\CharID_172-178","95","3137012","128785","0"
"BLDA\CharFace\CFID_6\CharID_173-168","195","5850532","245102","0"
"BLDA\CharFace\CFID_6\CharID_173-169","161","4757174","140532","0"
"BLDA\CharFace\CFID_6\CharID_173-240","222","5742162","135322","0"
"BLDA\CharFace\CFID_6\CharID_173-249","243","6460696","187500","0"
"BLDA\CharFace\CFID_6\CharID_174-219","138","4398668","96146","0"
"BLDA\CharFace\CFID_6\CharID_175","107","2631478","85126","0"
"BLDA\CharFace\CFID_6\CharID_175-147","100","2428900","90987","0"
"BLDA\CharFace\CFID_6\CharID_175-150","145","4513650","103589","0"
"BLDA\CharFace\CFID_6\CharID_175-245","246","6705592","159545","0"
