"Relative","Count","SrcBytes"
"BLDA\CharFace\CFID_4\CharID_182","44","723654"
"BLDA\CharFace\CFID_4\CharID_224","41","668832"
"BLDA\CharFace\CFID_4\CharID_224_REPAIR","18","289594"
"BLDA\CharFace\CFID_4\CharID_225","38","675676"
"BLDA\CharFace\CFID_4\CharID_226","30","503942"
"BLDA\CharFace\CFID_4\CharID_226_REPAIR","19","326134"
"BLDA\CharFace\CFID_4\CharID_228","36","592044"
"BLDA\CharFace\CFID_4\CharID_230","113","1477558"
"BLDA\CharFace\CFID_4\CharID_234","28","386224"
"BLDA\CharFace\CFID_4\CharID_6","47","726996"
"BLDA\CharFace\CFID_4\CharID_68","3","41380"
"BLDA\CharFace\CFID_5\CharID_0_OLD","8","239440"
"BLDA\CharFace\CFID_5\CharID_108_OLD","8","200690"
"BLDA\CharFace\CFID_5\CharID_110_OLD","8","292934"
"BLDA\CharFace\CFID_5\CharID_119_OLD","9","231146"
"BLDA\CharFace\CFID_5\CharID_131_OLD","12","364130"
"BLDA\CharFace\CFID_5\CharID_145_OLD","11","343234"
"BLDA\CharFace\CFID_5\CharID_153_OLD","11","342314"
"BLDA\CharFace\CFID_5\CharID_154_OLD","9","262180"
"BLDA\CharFace\CFID_5\CharID_159_OLD","7","191274"
"BLDA\CharFace\CFID_5\CharID_160_OLD","14","542576"
"BLDA\CharFace\CFID_5\CharID_184_OLD","9","339270"
"BLDA\CharFace\CFID_5\CharID_202_OLD","11","234962"
"BLDA\CharFace\CFID_5\CharID_222_OLD","9","268440"
"BLDA\CharFace\CFID_5\CharID_230_OLD","15","534830"
"BLDA\CharFace\CFID_5\CharID_40_1_OLD","12","445506"
"BLDA\CharFace\CFID_5\CharID_40_2_OLD","11","392892"
"BLDA\CharFace\CFID_5\CharID_40_3_OLD","16","553552"
"BLDA\CharFace\CFID_5\CharID_40_4_OLD","8","342390"
"BLDA\CharFace\CFID_5\CharID_40_5_OLD","8","199446"
"BLDA\CharFace\CFID_5\CharID_40_6_OLD","10","164962"
"BLDA\CharFace\CFID_5\CharID_82_OLD","12","561660"
"BLDA\CharFace\CFID_6\CharID_0","36","1154650"
"BLDA\CharFace\CFID_6\CharID_10","28","773594"
"BLDA\CharFace\CFID_6\CharID_100-267","215","5831394"
"BLDA\CharFace\CFID_6\CharID_104","235","6207032"
"BLDA\CharFace\CFID_6\CharID_104-173","185","5051268"
"BLDA\CharFace\CFID_6\CharID_104-239","388","8387064"
"BLDA\CharFace\CFID_6\CharID_105","131","3127902"
"BLDA\CharFace\CFID_6\CharID_105-140","252","6250110"
"BLDA\CharFace\CFID_6\CharID_105-262","473","11746242"
"BLDA\CharFace\CFID_6\CharID_105-269","208","5735720"
"BLDA\CharFace\CFID_6\CharID_106","198","2786042"
"BLDA\CharFace\CFID_6\CharID_106-271","241","7062842"
"BLDA\CharFace\CFID_6\CharID_107-206","113","3638376"
"BLDA\CharFace\CFID_6\CharID_111-146","75","2223942"
"BLDA\CharFace\CFID_6\CharID_112-167","184","3866970"
"BLDA\CharFace\CFID_6\CharID_113-156","72","2921064"
"BLDA\CharFace\CFID_6\CharID_113-248","574","16982248"
"BLDA\CharFace\CFID_6\CharID_117","108","3038730"
"BLDA\CharFace\CFID_6\CharID_120-179","127","4299102"
"BLDA\CharFace\CFID_6\CharID_121","46","1198902"
"BLDA\CharFace\CFID_6\CharID_123-145","120","3842976"
"BLDA\CharFace\CFID_6\CharID_124","96","3469560"
"BLDA\CharFace\CFID_6\CharID_125","112","2929886"
"BLDA\CharFace\CFID_6\CharID_130","299","8990992"
"BLDA\CharFace\CFID_6\CharID_130-247","310","8584626"
"BLDA\CharFace\CFID_6\CharID_130-255","494","9137640"
"BLDA\CharFace\CFID_6\CharID_131","237","7134656"
"BLDA\CharFace\CFID_6\CharID_131-214","444","13923456"
"BLDA\CharFace\CFID_6\CharID_131-256","473","8694550"
"BLDA\CharFace\CFID_6\CharID_132-215","189","5784522"
"BLDA\CharFace\CFID_6\CharID_132-257","387","8882186"
"BLDA\CharFace\CFID_6\CharID_134","135","4419352"
"BLDA\CharFace\CFID_6\CharID_135","109","3605050"
"BLDA\CharFace\CFID_6\CharID_135-139","205","7022572"
"BLDA\CharFace\CFID_6\CharID_136","112","4959780"
"BLDA\CharFace\CFID_6\CharID_136-194","66","2318094"
"BLDA\CharFace\CFID_6\CharID_137-142","86","2987820"
"BLDA\CharFace\CFID_6\CharID_137-207","171","5161670"
"BLDA\CharFace\CFID_6\CharID_139-157","65","2304944"
"BLDA\CharFace\CFID_6\CharID_140","119","3254674"
"BLDA\CharFace\CFID_6\CharID_141","98","2354768"
"BLDA\CharFace\CFID_6\CharID_141-216","326","9407540"
"BLDA\CharFace\CFID_6\CharID_142-144","83","2599788"
"BLDA\CharFace\CFID_6\CharID_143-213","77","2397420"
"BLDA\CharFace\CFID_6\CharID_147-243","65","1739670"
"BLDA\CharFace\CFID_6\CharID_148-231","245","4939748"
"BLDA\CharFace\CFID_6\CharID_148-260","646","8539308"
"BLDA\CharFace\CFID_6\CharID_150-188","80","1848512"
"BLDA\CharFace\CFID_6\CharID_150-200","229","8435050"
"BLDA\CharFace\CFID_6\CharID_150-264","412","7492646"
"BLDA\CharFace\CFID_6\CharID_151","151","3870530"
"BLDA\CharFace\CFID_6\CharID_152-189","111","2451958"
"BLDA\CharFace\CFID_6\CharID_154-192","147","4568180"
"BLDA\CharFace\CFID_6\CharID_154-242","73","1161930"
"BLDA\CharFace\CFID_6\CharID_155","91","2678964"
"BLDA\CharFace\CFID_6\CharID_155-162","84","2099124"
"BLDA\CharFace\CFID_6\CharID_156","58","1802746"
"BLDA\CharFace\CFID_6\CharID_156-218","58","1756848"
"BLDA\CharFace\CFID_6\CharID_157","110","3791944"
"BLDA\CharFace\CFID_6\CharID_159","116","3735620"
"BLDA\CharFace\CFID_6\CharID_160","78","3171450"
"BLDA\CharFace\CFID_6\CharID_162","146","4536342"
"BLDA\CharFace\CFID_6\CharID_162_0","124","3394538"
"BLDA\CharFace\CFID_6\CharID_162-252","217","2917164"
"BLDA\CharFace\CFID_6\CharID_167-155","113","3197930"
"BLDA\CharFace\CFID_6\CharID_167-172","90","3386092"
"BLDA\CharFace\CFID_6\CharID_167-250","274","7250916"
"BLDA\CharFace\CFID_6\CharID_171-180","104","3899516"
"BLDA\CharFace\CFID_6\CharID_172","77","2759282"
"BLDA\CharFace\CFID_6\CharID_172_0","79","2682946"
"BLDA\CharFace\CFID_6\CharID_172-178","95","3137012"
"BLDA\CharFace\CFID_6\CharID_173-168","195","5850532"
"BLDA\CharFace\CFID_6\CharID_173-169","161","4757174"
"BLDA\CharFace\CFID_6\CharID_173-240","222","5742162"
"BLDA\CharFace\CFID_6\CharID_173-249","243","6460696"
"BLDA\CharFace\CFID_6\CharID_174-219","138","4398668"
"BLDA\CharFace\CFID_6\CharID_175","107","2631478"
"BLDA\CharFace\CFID_6\CharID_175-147","100","2428900"
"BLDA\CharFace\CFID_6\CharID_175-150","145","4513650"
"BLDA\CharFace\CFID_6\CharID_175-245","246","6705592"
"BLDA\CharFace\CFID_6\CharID_175-270","254","5049746"
"BLDA\CharFace\CFID_6\CharID_176","97","3405886"
"BLDA\CharFace\CFID_6\CharID_176-253","240","4742872"
"BLDA\CharFace\CFID_6\CharID_178-160","119","3625156"
"BLDA\CharFace\CFID_6\CharID_179-161","93","2605464"
"BLDA\CharFace\CFID_6\CharID_181-174","92","3008950"
"BLDA\CharFace\CFID_6\CharID_184-181","93","3523922"
"BLDA\CharFace\CFID_6\CharID_187-233","64","1998326"
"BLDA\CharFace\CFID_6\CharID_188","58","2350304"
"BLDA\CharFace\CFID_6\CharID_190","107","4303324"
"BLDA\CharFace\CFID_6\CharID_191","102","2795522"
