"Relative","Count","SrcBytes","DstBytes","ExitCode"
"GameData\BLDA\CharFace\CFID_10\CharID_96-185","71","2265638","75521","0"
"GameData\BLDA\CharFace\CFID_10\CharID_97-186","89","2668544","79582","0"
"GameData\BLDA\CharFace\CFID_2\CharID_104_1","21","136402","23145","0"
"GameData\BLDA\CharFace\CFID_2\CharID_104_2","50","1242830","161947","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93","9","225850","28307","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_1","12","379802","34635","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_2","9","132654","22934","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_3","32","492742","55550","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93-246","53","530348","46175","0"
"GameData\BLDA\CharFace\CFID_2\CharID_94","26","398484","36247","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_1","33","956348","233481","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_2","33","878094","281673","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_3","33","782706","215224","0"
"GameData\BLDA\CharFace\CFID_4\CharID_104","19","291012","44014","0"
"GameData\BLDA\CharFace\CFID_4\CharID_105","28","439980","41951","0"
"GameData\BLDA\CharFace\CFID_4\CharID_119","74","1399240","105635","0"
"GameData\BLDA\CharFace\CFID_4\CharID_130","31","679596","72793","0"
"GameData\BLDA\CharFace\CFID_4\CharID_131","10","153656","26867","0"
"GameData\BLDA\CharFace\CFID_4\CharID_132","17","209078","23674","0"
"GameData\BLDA\CharFace\CFID_4\CharID_134","41","669848","70850","0"
"GameData\BLDA\CharFace\CFID_4\CharID_135","31","451028","48173","0"
"GameData\BLDA\CharFace\CFID_4\CharID_152","23","310696","40986","0"
"GameData\BLDA\CharFace\CFID_4\CharID_156","55","868282","58819","0"
"GameData\BLDA\CharFace\CFID_4\CharID_157","7","103932","36068","0"
"GameData\BLDA\CharFace\CFID_4\CharID_158","8","117086","26598","0"
"GameData\BLDA\CharFace\CFID_4\CharID_167","33","528272","49715","0"
"GameData\BLDA\CharFace\CFID_4\CharID_167_REPAIR","10","159652","32295","0"
"GameData\BLDA\CharFace\CFID_4\CharID_173","58","1045754","72304","0"
"GameData\BLDA\CharFace\CFID_4\CharID_175","9","163362","38388","0"
"GameData\BLDA\CharFace\CFID_4\CharID_176","24","485984","37957","0"
"GameData\BLDA\CharFace\CFID_4\CharID_182","44","723654","39941","0"
"GameData\BLDA\CharFace\CFID_4\CharID_224","41","668832","71517","0"
"GameData\BLDA\CharFace\CFID_4\CharID_224_REPAIR","18","289594","43353","0"
"GameData\BLDA\CharFace\CFID_4\CharID_225","38","675676","63422","0"
"GameData\BLDA\CharFace\CFID_4\CharID_226","30","503942","73590","0"
"GameData\BLDA\CharFace\CFID_4\CharID_226_REPAIR","19","326134","55559","0"
"GameData\BLDA\CharFace\CFID_4\CharID_228","36","592044","68601","0"
"GameData\BLDA\CharFace\CFID_4\CharID_230","113","1477558","90568","0"
"GameData\BLDA\CharFace\CFID_4\CharID_234","28","386224","46707","0"
"GameData\BLDA\CharFace\CFID_4\CharID_6","47","726996","44678","0"
"GameData\BLDA\CharFace\CFID_4\CharID_68","3","41380","18758","0"
"GameData\BLDA\CharFace\CFID_5\CharID_0_OLD","8","239440","34977","0"
"GameData\BLDA\CharFace\CFID_5\CharID_108_OLD","8","200690","32028","0"
"GameData\BLDA\CharFace\CFID_5\CharID_110_OLD","8","292934","39866","0"
"GameData\BLDA\CharFace\CFID_5\CharID_119_OLD","9","231146","32750","0"
"GameData\BLDA\CharFace\CFID_5\CharID_131_OLD","12","364130","37557","0"
"GameData\BLDA\CharFace\CFID_5\CharID_145_OLD","11","343234","40744","0"
"GameData\BLDA\CharFace\CFID_5\CharID_153_OLD","11","342314","37307","0"
"GameData\BLDA\CharFace\CFID_5\CharID_154_OLD","9","262180","38015","0"
"GameData\BLDA\CharFace\CFID_5\CharID_159_OLD","7","191274","30103","0"
"GameData\BLDA\CharFace\CFID_5\CharID_160_OLD","14","542576","65137","0"
"GameData\BLDA\CharFace\CFID_5\CharID_184_OLD","9","339270","49791","0"
"GameData\BLDA\CharFace\CFID_5\CharID_202_OLD","11","234962","27165","0"
"GameData\BLDA\CharFace\CFID_5\CharID_222_OLD","9","268440","36433","0"
"GameData\BLDA\CharFace\CFID_5\CharID_230_OLD","15","534830","49576","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_1_OLD","12","445506","61620","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_2_OLD","11","392892","41655","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_3_OLD","16","553552","62165","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_4_OLD","8","342390","44993","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_5_OLD","8","199446","27504","0"
"GameData\BLDA\CharFace\CFID_5\CharID_40_6_OLD","10","164962","25196","0"
"GameData\BLDA\CharFace\CFID_5\CharID_82_OLD","12","561660","63298","0"
"GameData\BLDA\CharFace\CFID_6\CharID_0","36","1154650","41885","0"
"GameData\BLDA\CharFace\CFID_6\CharID_10","28","773594","37551","0"
"GameData\BLDA\CharFace\CFID_6\CharID_100-267","215","5831394","105745","0"
"GameData\BLDA\CharFace\CFID_6\CharID_104","235","6207032","229992","0"
"GameData\BLDA\CharFace\CFID_6\CharID_104-173","185","5051268","114998","0"
"GameData\BLDA\CharFace\CFID_6\CharID_104-239","388","8387064","173000","0"
"GameData\BLDA\CharFace\CFID_6\CharID_105","131","3127902","126276","0"
"GameData\BLDA\CharFace\CFID_6\CharID_105-140","252","6250110","134394","0"
"GameData\BLDA\CharFace\CFID_6\CharID_105-262","473","11746242","196500","0"
"GameData\BLDA\CharFace\CFID_6\CharID_105-269","208","5735720","102912","0"
"GameData\BLDA\CharFace\CFID_6\CharID_106","198","2786042","108250","0"
"GameData\BLDA\CharFace\CFID_6\CharID_106-271","241","7062842","98310","0"
"GameData\BLDA\CharFace\CFID_6\CharID_107-206","113","3638376","86671","0"
"GameData\BLDA\CharFace\CFID_6\CharID_111-146","75","2223942","55477","0"
"GameData\BLDA\CharFace\CFID_6\CharID_112-167","184","3866970","197541","0"
"GameData\BLDA\CharFace\CFID_6\CharID_113-156","72","2921064","72237","0"
"GameData\BLDA\CharFace\CFID_6\CharID_113-248","574","16982248","255253","0"
"GameData\BLDA\CharFace\CFID_6\CharID_117","108","3038730","66697","0"
"GameData\BLDA\CharFace\CFID_6\CharID_120-179","127","4299102","85858","0"
"GameData\BLDA\CharFace\CFID_6\CharID_121","46","1198902","48745","0"
"GameData\BLDA\CharFace\CFID_6\CharID_123-145","120","3842976","133801","0"
"GameData\BLDA\CharFace\CFID_6\CharID_124","96","3469560","99898","0"
"GameData\BLDA\CharFace\CFID_6\CharID_125","112","2929886","64696","0"
"GameData\BLDA\CharFace\CFID_6\CharID_130","299","8990992","274023","0"
"GameData\BLDA\CharFace\CFID_6\CharID_130-247","310","8584626","163812","0"
"GameData\BLDA\CharFace\CFID_6\CharID_130-255","494","9137640","182441","0"
"GameData\BLDA\CharFace\CFID_6\CharID_131","237","7134656","179773","0"
"GameData\BLDA\CharFace\CFID_6\CharID_131-214","444","13923456","258280","0"
"GameData\BLDA\CharFace\CFID_6\CharID_131-256","473","8694550","178306","0"
"GameData\BLDA\CharFace\CFID_6\CharID_132-215","189","5784522","101529","0"
"GameData\BLDA\CharFace\CFID_6\CharID_132-257","387","8882186","166386","0"
"GameData\BLDA\CharFace\CFID_6\CharID_134","135","4419352","164614","0"
"GameData\BLDA\CharFace\CFID_6\CharID_135","109","3605050","71732","0"
"GameData\BLDA\CharFace\CFID_6\CharID_135-139","205","7022572","175398","0"
"GameData\BLDA\CharFace\CFID_6\CharID_136","112","4959780","91471","0"
"GameData\BLDA\CharFace\CFID_6\CharID_136-194","66","2318094","66307","0"
"GameData\BLDA\CharFace\CFID_6\CharID_137-142","86","2987820","85207","0"
"GameData\BLDA\CharFace\CFID_6\CharID_137-207","171","5161670","123738","0"
"GameData\BLDA\CharFace\CFID_6\CharID_139-157","65","2304944","56021","0"
"GameData\BLDA\CharFace\CFID_6\CharID_140","119","3254674","82157","0"
"GameData\BLDA\CharFace\CFID_6\CharID_141","98","2354768","63039","0"
"GameData\BLDA\CharFace\CFID_6\CharID_141-216","326","9407540","345674","0"
"GameData\BLDA\CharFace\CFID_6\CharID_142-144","83","2599788","62295","0"
"GameData\BLDA\CharFace\CFID_6\CharID_143-213","77","2397420","62057","0"
"GameData\BLDA\CharFace\CFID_6\CharID_147-243","65","1739670","65109","0"
"GameData\BLDA\CharFace\CFID_6\CharID_148-231","245","4939748","84924","0"
"GameData\BLDA\CharFace\CFID_6\CharID_148-260","646","8539308","211935","0"
"GameData\BLDA\CharFace\CFID_6\CharID_150-188","80","1848512","47356","0"
"GameData\BLDA\CharFace\CFID_6\CharID_150-200","229","8435050","159716","0"
"GameData\BLDA\CharFace\CFID_6\CharID_150-264","412","7492646","156103","0"
"GameData\BLDA\CharFace\CFID_6\CharID_151","151","3870530","177161","0"
"GameData\BLDA\CharFace\CFID_6\CharID_152-189","111","2451958","64999","0"
"GameData\BLDA\CharFace\CFID_6\CharID_154-192","147","4568180","114535","0"
"GameData\BLDA\CharFace\CFID_6\CharID_154-242","73","1161930","39226","0"
"GameData\BLDA\CharFace\CFID_6\CharID_155","91","2678964","111329","0"
"GameData\BLDA\CharFace\CFID_6\CharID_155-162","84","2099124","59371","0"
"GameData\BLDA\CharFace\CFID_6\CharID_156","58","1802746","91076","0"
"GameData\BLDA\CharFace\CFID_6\CharID_156-218","58","1756848","55039","0"
"GameData\BLDA\CharFace\CFID_6\CharID_157","110","3791944","117703","0"
"GameData\BLDA\CharFace\CFID_6\CharID_159","116","3735620","83724","0"
"GameData\BLDA\CharFace\CFID_6\CharID_160","78","3171450","103934","0"
"GameData\BLDA\CharFace\CFID_6\CharID_162","146","4536342","114251","0"
"GameData\BLDA\CharFace\CFID_6\CharID_162_0","124","3394538","69919","0"
"GameData\BLDA\CharFace\CFID_6\CharID_162-252","217","2917164","68015","0"
"GameData\BLDA\CharFace\CFID_6\CharID_167-155","113","3197930","64566","0"
"GameData\BLDA\CharFace\CFID_6\CharID_167-172","90","3386092","67442","0"
"GameData\BLDA\CharFace\CFID_6\CharID_167-250","274","7250916","142487","0"
"GameData\BLDA\CharFace\CFID_6\CharID_171-180","104","3899516","95561","0"
"GameData\BLDA\CharFace\CFID_6\CharID_172","77","2759282","64081","0"
"GameData\BLDA\CharFace\CFID_6\CharID_172_0","79","2682946","62548","0"
"GameData\BLDA\CharFace\CFID_6\CharID_172-178","95","3137012","107317","0"
"GameData\BLDA\CharFace\CFID_6\CharID_173-168","195","5850532","227521","0"
"GameData\BLDA\CharFace\CFID_6\CharID_173-169","161","4757174","126026","0"
"GameData\BLDA\CharFace\CFID_6\CharID_173-240","222","5742162","99674","0"
"GameData\BLDA\CharFace\CFID_6\CharID_173-249","243","6460696","115569","0"
"GameData\BLDA\CharFace\CFID_6\CharID_174-219","138","4398668","97040","0"
"GameData\BLDA\CharFace\CFID_6\CharID_175","107","2631478","61202","0"
"GameData\BLDA\CharFace\CFID_6\CharID_175-147","100","2428900","74173","0"
"GameData\BLDA\CharFace\CFID_6\CharID_175-150","145","4513650","108754","0"
"GameData\BLDA\CharFace\CFID_6\CharID_175-245","246","6705592","104632","0"
"GameData\BLDA\CharFace\CFID_6\CharID_175-270","254","5049746","93928","0"
"GameData\BLDA\CharFace\CFID_6\CharID_176","97","3405886","73777","0"
"GameData\BLDA\CharFace\CFID_6\CharID_176-253","240","4742872","90630","0"
"GameData\BLDA\CharFace\CFID_6\CharID_178-160","119","3625156","86838","0"
"GameData\BLDA\CharFace\CFID_6\CharID_179-161","93","2605464","60981","0"
"GameData\BLDA\CharFace\CFID_6\CharID_181-174","92","3008950","53827","0"
"GameData\BLDA\CharFace\CFID_6\CharID_184-181","93","3523922","76305","0"
"GameData\BLDA\CharFace\CFID_6\CharID_187-233","64","1998326","53230","0"
"GameData\BLDA\CharFace\CFID_6\CharID_188","58","2350304","72101","0"
"GameData\BLDA\CharFace\CFID_6\CharID_190","107","4303324","104406","0"
"GameData\BLDA\CharFace\CFID_6\CharID_191","102","2795522","65170","0"
"GameData\BLDA\CharFace\CFID_6\CharID_192-199","75","2511640","78136","0"
"GameData\BLDA\CharFace\CFID_6\CharID_2","96","2744142","96948","0"
"GameData\BLDA\CharFace\CFID_6\CharID_20-265","680","10546666","267439","0"
"GameData\BLDA\CharFace\CFID_6\CharID_202-176","148","2566998","101262","0"
"GameData\BLDA\CharFace\CFID_6\CharID_202-212","263","5108786","196225","0"
"GameData\BLDA\CharFace\CFID_6\CharID_212","36","794144","41238","0"
"GameData\BLDA\CharFace\CFID_6\CharID_213","56","1758118","55175","0"
"GameData\BLDA\CharFace\CFID_6\CharID_215-175","48","1539430","47379","0"
"GameData\BLDA\CharFace\CFID_6\CharID_216","36","535554","37708","0"
"GameData\BLDA\CharFace\CFID_6\CharID_216-148","127","3772316","84106","0"
"GameData\BLDA\CharFace\CFID_6\CharID_224-154","106","3112208","69456","0"
"GameData\BLDA\CharFace\CFID_6\CharID_225-191","192","5979710","133463","0"
"GameData\BLDA\CharFace\CFID_6\CharID_226-228","241","7024812","175556","0"
"GameData\BLDA\CharFace\CFID_6\CharID_226-230","233","5790462","106825","0"
"GameData\BLDA\CharFace\CFID_6\CharID_226-261","449","12648990","194585","0"
"GameData\BLDA\CharFace\CFID_6\CharID_226-263","468","9178250","192052","0"
"GameData\BLDA\CharFace\CFID_6\CharID_227","149","3957504","120451","0"
"GameData\BLDA\CharFace\CFID_6\CharID_229-241","240","6248762","103942","0"
"GameData\BLDA\CharFace\CFID_6\CharID_230","125","3384158","72937","0"
